,work_year,experience_level,job_title,salary,salary_currency,salary_in_usd,company_location,company_size
357,2022,SE,Data Scientist,211500,USD,211500,US,M
358,2022,SE,Data Architect,192400,USD,192400,CA,M
359,2022,SE,Data Architect,90700,USD,90700,CA,M
360,2022,SE,Data Analyst,130000,USD,130000,CA,M
361,2022,SE,Data Analyst,61300,USD,61300,CA,M
362,2022,SE,Data Analyst,130000,USD,130000,CA,M
363,2022,SE,Data Analyst,61300,USD,61300,CA,M
364,2022,SE,Data Engineer,160000,USD,160000,US,L
365,2022,SE,Data Scientist,138600,USD,138600,US,M
366,2022,SE,Data Engineer,136000,USD,136000,US,M
367,2022,MI,Data Analyst,58000,USD,58000,US,S
368,2022,EX,Analytics Engineer,135000,USD,135000,US,M
369,2022,SE,Data Scientist,170000,USD,170000,US,M
370,2022,SE,Data Scientist,123000,USD,123000,US,M
371,2022,SE,Machine Learning Engineer,189650,USD,189650,US,M
372,2022,SE,Machine Learning Engineer,164996,USD,164996,US,M
373,2022,MI,ETL Developer,50000,EUR,54957,GR,M
374,2022,MI,ETL Developer,50000,EUR,54957,GR,M
375,2022,EX,Lead Data Engineer,150000,CAD,118187,CA,S
376,2022,SE,Data Analyst,132000,USD,132000,US,M
377,2022,SE,Data Engineer,165400,USD,165400,US,M
378,2022,SE,Data Architect,208775,USD,208775,US,M
379,2022,SE,Data Architect,147800,USD,147800,US,M
380,2022,SE,Data Engineer,136994,USD,136994,US,M
381,2022,SE,Data Engineer,101570,USD,101570,US,M
382,2022,SE,Data Analyst,128875,USD,128875,US,M
383,2022,SE,Data Analyst,93700,USD,93700,US,M
384,2022,EX,Head of Machine Learning,6000000,INR,79039,IN,L
385,2022,SE,Data Engineer,132320,USD,132320,US,M
386,2022,EN,Machine Learning Engineer,28500,GBP,37300,GB,L
387,2022,SE,Data Analyst,164000,USD,164000,US,M
388,2022,SE,Data Engineer,155000,USD,155000,US,M
389,2022,MI,Machine Learning Engineer,95000,GBP,124333,GB,M
390,2022,MI,Machine Learning Engineer,75000,GBP,98158,GB,M
391,2022,MI,AI Scientist,120000,USD,120000,US,M
392,2022,SE,Data Analyst,112900,USD,112900,US,M
393,2022,SE,Data Analyst,90320,USD,90320,US,M
394,2022,SE,Data Analytics Manager,145000,USD,145000,US,M
395,2022,SE,Data Analytics Manager,105400,USD,105400,US,M
